"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"Olfr719-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr778-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr852-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr928-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olig1",9004.465,6633.937,5202.516,3375.997,4643.209,4144.888,5412.938,5685.277,9696.882,3312.328,8654.907,2408.638,11751.958,6460.954,6512.269
"Olig3",0,0,0,5.066,2.023,4.957,1.145,2.074,0,1.001,0,4.012,6.079,0,0
"Oma1",92.992,134.097,72.722,83.965,52.489,57.456,101.007,86.11,82.011,60.613,74.643,60.073,109.55,84.604,84.583
"Omp",10.122,6.119,2.009,6.97,2.074,3.122,0,3.895,20.779,1.501,4.013,3.026,8.663,2.014,1.413
"Onecut3",14.965,11.014,0,2.001,0,0,5.603,6.222,95.885,1,2.004,1.002,7.363,1.004,0
"Ooep",3.003,1,0,0,5.43,3.016,0,3.005,5.86,1.808,4.908,2.262,6.314,1,7.644
"Oog1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oog2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oog3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oosp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opn5",0,0,0,0,0,1.635,0,0,1.001,0,0,0,0,0,0
"Oprd1",209.199,304.768,256.622,470.429,282.484,250.02,164.883,242.506,140.471,309.213,181.575,290.537,252.47,329.636,271.549
"Or10a2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a3m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a3n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10a5",0,0.829,0,0,0,0,0,0,0,1,0,0,0,0,0
"Or10aa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10aa3",0,0,0,0,0,0,0,0.992,0,0,0,0,0,0,0
"Or10ab4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ab5",5.461,4.002,7.95,1.995,3.501,3.032,8.046,8.006,5,6.001,7.946,0,9.748,8.633,3.006
"Or10ac1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Or10ad1b",0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ag2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ag52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ag53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ag54",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
